Cool,Pop,Doesn't drink,Other,F
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,F
Cool,Electronic,Doesn't drink,Fanta,F
Warm,Rock,Other,Coca Cola/Pepsi,F
Neutral,Rock,Beer,Coca Cola/Pepsi,F
Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
Warm,R&B and soul,Wine,Other,M
Neutral,Hip hop,Beer,7UP/Sprite,M
Warm,Electronic,Other,Coca Cola/Pepsi,M
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Pop,Other,Fanta,M
Cool,Pop,Whiskey,Fanta,M
